data,detector,attack,eps,auc,1fpr,5fpr,10fpr
CIFAR10,BAARD,APGD-L2,High,100.0,99.94,100.0,100.0
CIFAR10,BAARD,APGD-L2,Low,71.4,3.38,20.28,34.54
CIFAR10,BAARD,APGD-Linf,High,100.0,100.0,100.0,100.0
CIFAR10,BAARD,APGD-Linf,Low,83.16,17.98,46.58,59.8
CIFAR10,BAARD,CW2-L2,NA,97.82,41.46,91.22,99.06
CIFAR10,FS,APGD-L2,High,82.54,29.62,42.52,52.9
CIFAR10,FS,APGD-L2,Low,95.14,61.78,78.76,90.18
CIFAR10,FS,APGD-Linf,High,70.66,14.94,24.68,32.86
CIFAR10,FS,APGD-Linf,Low,95.74,54.44,75.66,90.72
CIFAR10,FS,CW2-L2,NA,90.72,1.6,6.86,69.14
CIFAR10,LID,APGD-L2,High,98.68,86.02,94.2,96.68
CIFAR10,LID,APGD-L2,Low,72.24,12.96,27.98,39.68
CIFAR10,LID,APGD-Linf,High,99.22,93.14,96.54,98.06
CIFAR10,LID,APGD-Linf,Low,82.16,24.72,44.02,56.54
CIFAR10,LID,CW2-L2,NA,34.94,6.78,9.48,11.98
CIFAR10,ML-LOO,APGD-L2,High,99.2,94.72,97.54,98.34
CIFAR10,ML-LOO,APGD-L2,Low,58.56,7.6,16.78,24.54
CIFAR10,ML-LOO,APGD-Linf,High,99.6,97.78,98.94,99.22
CIFAR10,ML-LOO,APGD-Linf,Low,66.96,15.92,27.96,36.72
CIFAR10,ML-LOO,CW2-L2,NA,66.36,2.1,10.84,20.94
CIFAR10,Odds,APGD-L2,High,80.88,0.02,2.64,16.72
CIFAR10,Odds,APGD-L2,Low,97.2,76.86,95.54,97.3
CIFAR10,Odds,APGD-Linf,High,67.36,0.0,0.18,2.46
CIFAR10,Odds,APGD-Linf,Low,98.0,66.8,95.18,98.68
CIFAR10,Odds,CW2-L2,NA,96.14,61.8,83.14,89.9
CIFAR10,PN,APGD-L2,High,58.14,3.68,9.72,16.16
CIFAR10,PN,APGD-L2,Low,75.36,4.68,16.98,30.34
CIFAR10,PN,APGD-Linf,High,54.22,2.52,7.48,13.28
CIFAR10,PN,APGD-Linf,Low,76.64,5.46,18.12,32.44
CIFAR10,PN,CW2-L2,NA,66.8,2.4,10.78,19.8
CIFAR10,RC,APGD-L2,High,54.7,0.0,0.0,0.0
CIFAR10,RC,APGD-L2,Low,55.86,6.02,12.14,20.32
CIFAR10,RC,APGD-Linf,High,54.82,0.0,0.0,0.0
CIFAR10,RC,APGD-Linf,Low,49.56,2.1,4.7,8.68
CIFAR10,RC,CW2-L2,NA,99.36,92.32,98.5,99.5
