data,detector,attack,eps,auc,1fpr,5fpr,10fpr
CIFAR10,BAARD,APGD-L2,High,1.69,21.04,8.63,5.5
CIFAR10,BAARD,APGD-L2,Low,1.6,2.18,4.52,4.47
CIFAR10,BAARD,APGD-Linf,High,0.04,0.45,0.04,0.0
CIFAR10,BAARD,APGD-Linf,Low,1.81,5.58,10.86,8.48
CIFAR10,BAARD,CW2-L2,NA,42.55,21.16,42.02,44.43
CIFAR10,FS,APGD-L2,High,0.4,3.54,1.41,2.02
CIFAR10,FS,APGD-L2,Low,0.42,4.44,2.15,0.91
CIFAR10,FS,APGD-Linf,High,0.36,1.68,1.0,1.0
CIFAR10,FS,APGD-Linf,Low,0.4,3.88,1.76,1.07
CIFAR10,FS,CW2-L2,NA,0.34,0.43,0.59,19.85
CIFAR10,LID,APGD-L2,High,0.26,3.38,1.01,0.63
CIFAR10,LID,APGD-L2,Low,19.85,5.67,11.93,16.0
CIFAR10,LID,APGD-Linf,High,0.08,1.42,0.49,0.34
CIFAR10,LID,APGD-Linf,Low,1.11,3.81,2.9,3.37
CIFAR10,LID,CW2-L2,NA,13.29,0.88,7.55,9.23
CIFAR10,ML-LOO,APGD-L2,High,0.46,2.87,1.29,1.15
CIFAR10,ML-LOO,APGD-L2,Low,3.59,2.48,2.97,3.79
CIFAR10,ML-LOO,APGD-Linf,High,0.13,1.1,0.42,0.23
CIFAR10,ML-LOO,APGD-Linf,Low,4.02,5.28,6.06,6.43
CIFAR10,ML-LOO,CW2-L2,NA,1.65,0.34,1.3,2.63
CIFAR10,Odds,APGD-L2,High,0.99,0.04,0.47,3.83
CIFAR10,Odds,APGD-L2,Low,0.37,8.34,1.12,0.37
CIFAR10,Odds,APGD-Linf,High,1.95,0.0,0.13,0.29
CIFAR10,Odds,APGD-Linf,Low,0.29,10.51,1.79,0.38
CIFAR10,Odds,CW2-L2,NA,0.43,7.34,2.33,1.43
CIFAR10,PN,APGD-L2,High,0.65,0.63,1.43,1.28
CIFAR10,PN,APGD-L2,Low,0.96,0.6,2.47,3.38
CIFAR10,PN,APGD-Linf,High,0.83,0.46,0.94,1.37
CIFAR10,PN,APGD-Linf,Low,1.22,1.25,3.22,3.43
CIFAR10,PN,CW2-L2,NA,0.55,0.36,1.15,1.08
CIFAR10,RC,APGD-L2,High,0.54,0.0,0.0,0.0
CIFAR10,RC,APGD-L2,Low,0.68,1.1,1.15,1.88
CIFAR10,RC,APGD-Linf,High,0.15,0.0,0.0,0.0
CIFAR10,RC,APGD-Linf,Low,0.46,0.25,0.57,0.9
CIFAR10,RC,CW2-L2,NA,0.33,3.88,0.7,0.34
