data,detector,attack,eps,auc,1fpr,5fpr,10fpr
banknote,RC,PGD-Linf,Low,79.7,4.1,46.0,63.8
banknote,BAARD,PGD-Linf,Low,96.5,72.8,87.0,89.9
banknote,RC,PGD-Linf,High,99.2,40.0,100.0,100.0
banknote,BAARD,PGD-Linf,High,100.0,100.0,100.0,100.0
banknote,RC,DecisionTreeAttack,NA,86.4,41.3,54.5,63.4
banknote,BAARD,DecisionTreeAttack,NA,95.9,62.1,86.4,89.9
BC,RC,PGD-Linf,Low,65.0,0.0,0.0,0.0
BC,BAARD,PGD-Linf,Low,77.7,8.1,21.8,37.8
BC,RC,PGD-Linf,High,75.2,0.0,0.0,0.0
BC,BAARD,PGD-Linf,High,52.0,6.9,7.6,10.4
BC,RC,DecisionTreeAttack,NA,97.2,69.4,82.6,91.9
BC,BAARD,DecisionTreeAttack,NA,96.8,76.3,85.8,90.4
