data,detector,attack,eps,auc,1fpr,5fpr,10fpr
BC,BAARD,DecisionTreeAttack,NA,0.65,7.43,3.97,2.31
BC,BAARD,PGD-Linf,High,11.62,3.45,3.48,1.3
BC,BAARD,PGD-Linf,Low,4.85,1.05,10.86,19.57
BC,RC,DecisionTreeAttack,NA,2.3,26.05,10.26,5.34
BC,RC,PGD-Linf,High,1.78,0.0,0.0,0.0
BC,RC,PGD-Linf,Low,2.38,0.0,0.0,0.0
banknote,BAARD,DecisionTreeAttack,NA,0.99,5.26,3.09,3.8
banknote,BAARD,PGD-Linf,High,0.0,0.0,0.0,0.0
banknote,BAARD,PGD-Linf,Low,1.0,3.36,2.76,2.54
banknote,RC,DecisionTreeAttack,NA,11.96,19.87,28.0,26.19
banknote,RC,PGD-Linf,High,0.56,57.74,0.0,0.0
banknote,RC,PGD-Linf,Low,0.25,10.74,10.32,2.74
